First Name,Last Name,EmployeeID,Email,Room,Phone,Address,ClassCode,Subject,PermissionType
Marquessa,Barbee,DGUZW3GF,marquessa.barbee@santaquesa.edu,A22,801-144-7993,"9333 Redwood Street, Santa Quesa, UT 89098",318086,Painting,Teacher
LaQuella,Neff-Barney,709VIEZR,laquella.barney@santaquesa.edu,E10,801-687-3664,"3339 Tulip Street, Santa Quesa, UT 89098",685089,Math,Teacher
Elizameth,Bolstein,3HL9CGAH,elizameth.bolstein@santaquesa.edu,C27,801-210-7880,"6966 Redwood Street, Santa Quesa, UT 89098",379942,History,Teacher
Dan,Choedle,PGR0S7V8,dan.choedle@santaquesa.edu,B27,801-454-6467,"3533 Poplar Street, Santa Quesa, UT 89098",921007,Band,Teacher
Les,Claypool,32SWQXZS,les.claypool@santaquesa.edu,D24,801-846-2436,"3828 Tiger Lily Street, Santa Quesa, UT 89098",731355,Dance,Teacher
Ferl,Conley,PXN72C7Y,ferl.conley@santaquesa.edu,E3,801-961-4467,"295 Daisy Street, Santa Quesa, UT 89098",409004,Art,Teacher
Okla,Crestrunner,BGJFWOU0,okla.crestrunner@santaquesa.edu,F29,801-557-6051,"9129 Willow Street, Santa Quesa, UT 89098",,Office Secretary,Admin
Broderbund,Cumberlaugh,4IIB447E,broderbund.cumberlaugh@santaquesa.edu,A21,801-397-8262,"8968 Daffodil Street, Santa Quesa, UT 89098",990961,Theater,Teacher
Dale,Dooper,YV7Y7C3G,dale.dooper@santaquesa.edu,D9,801-787-1292,"2972 Chestnut Street, Santa Quesa, UT 89098",,Law Enforcement,Staff
Jenner,Dvorak,3KTK34CI,jenner.dvorak@santaquesa.edu,E26,801-917-9518,"5079 Willow Street, Santa Quesa, UT 89098",558407,Ceramics,Teacher
DeVerl,Fullerton,3FD60H9W,deverl.fullerton@santaquesa.edu,E10,801-262-7556,"5162 Cedar Street, Santa Quesa, UT 89098",,Principal,Admin
Melda,Galarza,KLPMU5HG,melda.galarza@santaquesa.edu,C22,801-665-5636,"2939 Locust Street, Santa Quesa, UT 89098",524163,Orchestra,Teacher
