First Name,Last Name,EmployeeID,Email,Room,Phone,Address,ClassPrefix,Class1,Class2,Class3,Class4
Ardean,Isbell,LZ9TRTZS,ardean.isbell@santaquesa.edu,C15,801-758-2365,"2923 Magnolia Street, Santa Quesa, UT 89098",910398,344067,665858,498747,627876
Kabe,Poole,QRLKY52P,kabe.poole@santaquesa.edu,E5,801-749-1918,"324 Larch Street, Santa Quesa, UT 89098",234234,685089,948365,558407,409004
Daraca,Goetz,9ZIOKM1Y,daraca.goetz@santaquesa.edu,E29,801-464-2771,"1341 Oak Street, Santa Quesa, UT 89098",143728,613772,279278,379942,483873
Kaylee,Keeling,JKHKB1AU,kaylee.keeling@santaquesa.edu,C13,801-508-3396,"7153 Poplar Street, Santa Quesa, UT 89098",734537,990961,216991,524163,318086
Maunette,Valladares,8EJ2KSTV,maunette.valladares@santaquesa.edu,A4,801-520-7076,"8583 Lilac Street, Santa Quesa, UT 89098",826798,919872,665858,279278,131453
Hikari,Matsumatsu,R5SO076V,hikari.matsumatsu@santaquesa.edu,D4,801-810-2581,"1167 Spruce Street, Santa Quesa, UT 89098",188102,408132,705008,558407,470174
Truss,Holm,URJ7DTFV,truss.holm@santaquesa.edu,D30,801-689-2947,"9290 Bamboo Street, Santa Quesa, UT 89098",476754,454386,919872,948365,344067
DeVar,Faulk,2KTIUFG6,devar.faulk@santaquesa.edu,A10,801-883-2891,"7355 Daffodil Street, Santa Quesa, UT 89098",623957,460225,570266,279278,948365
Aubra,Schenk,399KY63H,aubra.schenk@santaquesa.edu,E26,801-922-3573,"4527 Juniper Street, Santa Quesa, UT 89098",303460,409004,570266,344067,919872
Durfee,Laughlin,6WZWHUEL,durfee.laughlin@santaquesa.edu,E7,801-295-4220,"3579 Cypress Street, Santa Quesa, UT 89098",145157,627876,453500,106105,279278
Xysis,Tarnekar,K3IDM2BZ,xysis.tarnekar@santaquesa.edu,A29,801-747-7291,"2000 Tulip Street, Santa Quesa, UT 89098",575203,216991,524163,344067,379942
Tyler,Swarft,L5OMW5IZ,tyler.swarft@santaquesa.edu,D28,801-357-2848,"1943 Catalpa Street, Santa Quesa, UT 89098",818079,408132,836438,344067,409004
Tempest,Brackett,K0055AJ5,tempest.brackett@santaquesa.edu,B16,801-523-5951,"86 Crocus Street, Santa Quesa, UT 89098",376295,216991,106105,948365,279278
Caaran,Benson,7GFUJI2E,caaran.benson@santaquesa.edu,D25,801-661-8018,"1557 Acacia Street, Santa Quesa, UT 89098",588820,270044,454386,182122,705008
Arza,Durbin,2464S9E7,arza.durbin@santaquesa.edu,B27,801-950-2748,"4243 Catalpa Street, Santa Quesa, UT 89098",579897,921007,379942,344067,836438
Ekewaka,Padilla,RZCLT8EN,ekewaka.padilla@santaquesa.edu,E7,801-935-2745,"8729 Mulberry Street, Santa Quesa, UT 89098",873843,498747,470174,453500,483873
Glory,Churchill,9UC1BGAT,glory.churchill@santaquesa.edu,E6,801-820-7724,"7681 Crocus Street, Santa Quesa, UT 89098",540724,627876,453500,836438,613772
Dermus,Bradshaw,WBKELZPZ,dermus.bradshaw@santaquesa.edu,E5,801-223-2645,"6815 Pecan Street, Santa Quesa, UT 89098",988795,483873,408132,460225,613772
Chupov,Saenz,SICKB694,chupov.saenz@santaquesa.edu,D21,801-750-8494,"5778 Pine Street, Santa Quesa, UT 89098",514852,460225,665858,990961,524163
RaeJeanne,Spalding,T8HFYGEY,raejeanne.spalding@santaquesa.edu,E12,801-368-7645,"2266 Beech Street, Santa Quesa, UT 89098",912613,836438,483873,627876,990961
Alema,Faircloth,RVNZEW60,alema.faircloth@santaquesa.edu,A18,801-352-8526,"7818 Beech Street, Santa Quesa, UT 89098",416007,344067,570266,454386,270044
Shiloah,Hoke,HVIAG3H6,shiloah.hoke@santaquesa.edu,C26,801-626-7068,"9081 Maple Street, Santa Quesa, UT 89098",175000,106105,483873,665858,948365
Leadelle,Mckoy,XRB5A8DF,leadelle.mckoy@santaquesa.edu,B25,801-768-8039,"3676 Mulberry Street, Santa Quesa, UT 89098",723323,921007,627876,408132,454386
Jeffren,Getz,9KU46REG,jeffren.getz@santaquesa.edu,D25,801-589-6609,"2517 Birch Street, Santa Quesa, UT 89098",984021,990961,131453,379942,408132
Marolyn,Bogan,5EIQGXFS,marolyn.bogan@santaquesa.edu,E18,801-299-5609,"7083 Juniper Street, Santa Quesa, UT 89098",213902,379942,665858,990961,453500
Delton,Abarca,11NL4JRD,delton.abarca@santaquesa.edu,E6,801-971-7223,"8759 Sunflower Street, Santa Quesa, UT 89098",216825,460225,470174,570266,453500
Keston,Bull,NB4LEQ60,keston.bull@santaquesa.edu,F17,801-290-3271,"4787 Cypress Street, Santa Quesa, UT 89098",588910,216991,453500,990961,948365
Franece,Brannon,SDMW6OX0,franece.brannon@santaquesa.edu,C24,801-297-7365,"4003 Linden Street, Santa Quesa, UT 89098",552641,558407,379942,665858,948365
Anadyna,Bone,QFLS1PXX,anadyna.bone@santaquesa.edu,B19,801-645-7127,"9555 Lilac Street, Santa Quesa, UT 89098",341906,921007,279278,836438,460225
Doran,Casto,DGAL2N7B,doran.casto@santaquesa.edu,D21,801-559-6667,"8221 Locust Street, Santa Quesa, UT 89098",694502,498747,836438,470174,460225
