First Name,Last Name,StudentID,Email,Phone,Address,ClassesAndGrades,Class1,Class2,Class3,Class4,Grade1,Grade2,Grade3,Grade4
Ardean,Isbell,LZ9TRTZS,ardean.isbell@santaquesa.edu,801-758-2365,"2923 Magnolia Street, Santa Quesa, UT 89098","{'344067': 'D', '665858': 'A', '498747': 'C', '627876': 'A'}",344067,665858,498747,627876,D,A,C,A
Kabe,Poole,QRLKY52P,kabe.poole@santaquesa.edu,801-749-1918,"324 Larch Street, Santa Quesa, UT 89098","{'685089': 'A', '948365': 'D', '558407': 'D', '409004': 'F'}",685089,948365,558407,409004,A,D,D,F
Daraca,Goetz,9ZIOKM1Y,daraca.goetz@santaquesa.edu,801-464-2771,"1341 Oak Street, Santa Quesa, UT 89098","{'613772': 'F', '279278': 'D', '379942': 'D', '483873': 'C'}",613772,279278,379942,483873,F,D,D,C
Kaylee,Keeling,JKHKB1AU,kaylee.keeling@santaquesa.edu,801-508-3396,"7153 Poplar Street, Santa Quesa, UT 89098","{'990961': 'F', '216991': 'B', '524163': 'F', '318086': 'D'}",990961,216991,524163,318086,F,B,F,D
Maunette,Valladares,8EJ2KSTV,maunette.valladares@santaquesa.edu,801-520-7076,"8583 Lilac Street, Santa Quesa, UT 89098","{'919872': 'F', '665858': 'A', '279278': 'D', '131453': 'F'}",919872,665858,279278,131453,F,A,D,F
Hikari,Matsumatsu,R5SO076V,hikari.matsumatsu@santaquesa.edu,801-810-2581,"1167 Spruce Street, Santa Quesa, UT 89098","{'408132': 'B', '705008': 'B', '558407': 'F', '470174': 'D'}",408132,705008,558407,470174,B,B,F,D
Truss,Holm,URJ7DTFV,truss.holm@santaquesa.edu,801-689-2947,"9290 Bamboo Street, Santa Quesa, UT 89098","{'454386': 'D', '919872': 'B', '948365': 'C', '344067': 'C'}",454386,919872,948365,344067,D,B,C,C
DeVar,Faulk,2KTIUFG6,devar.faulk@santaquesa.edu,801-883-2891,"7355 Daffodil Street, Santa Quesa, UT 89098","{'460225': 'D', '570266': 'D', '279278': 'D', '948365': 'D'}",460225,570266,279278,948365,D,D,D,D
Aubra,Schenk,399KY63H,aubra.schenk@santaquesa.edu,801-922-3573,"4527 Juniper Street, Santa Quesa, UT 89098","{'409004': 'D', '570266': 'F', '344067': 'A', '919872': 'F'}",409004,570266,344067,919872,D,F,A,F
Durfee,Laughlin,6WZWHUEL,durfee.laughlin@santaquesa.edu,801-295-4220,"3579 Cypress Street, Santa Quesa, UT 89098","{'627876': 'A', '453500': 'D', '106105': 'D', '279278': 'B'}",627876,453500,106105,279278,A,D,D,B
Xysis,Tarnekar,K3IDM2BZ,xysis.tarnekar@santaquesa.edu,801-747-7291,"2000 Tulip Street, Santa Quesa, UT 89098","{'216991': 'B', '524163': 'C', '344067': 'D', '379942': 'B'}",216991,524163,344067,379942,B,C,D,B
Tyler,Swarft,L5OMW5IZ,tyler.swarft@santaquesa.edu,801-357-2848,"1943 Catalpa Street, Santa Quesa, UT 89098","{'408132': 'A', '836438': 'F', '344067': 'D', '409004': 'F'}",408132,836438,344067,409004,A,F,D,F
Tempest,Brackett,K0055AJ5,tempest.brackett@santaquesa.edu,801-523-5951,"86 Crocus Street, Santa Quesa, UT 89098","{'216991': 'C', '106105': 'D', '948365': 'C', '279278': 'A'}",216991,106105,948365,279278,C,D,C,A
Caaran,Benson,7GFUJI2E,caaran.benson@santaquesa.edu,801-661-8018,"1557 Acacia Street, Santa Quesa, UT 89098","{'270044': 'B', '454386': 'D', '182122': 'A', '705008': 'D'}",270044,454386,182122,705008,B,D,A,D
Arza,Durbin,2464S9E7,arza.durbin@santaquesa.edu,801-950-2748,"4243 Catalpa Street, Santa Quesa, UT 89098","{'921007': 'A', '379942': 'B', '344067': 'C', '836438': 'B'}",921007,379942,344067,836438,A,B,C,B
Ekewaka,Padilla,RZCLT8EN,ekewaka.padilla@santaquesa.edu,801-935-2745,"8729 Mulberry Street, Santa Quesa, UT 89098","{'498747': 'D', '470174': 'D', '453500': 'D', '483873': 'F'}",498747,470174,453500,483873,D,D,D,F
Glory,Churchill,9UC1BGAT,glory.churchill@santaquesa.edu,801-820-7724,"7681 Crocus Street, Santa Quesa, UT 89098","{'627876': 'A', '453500': 'B', '836438': 'B', '613772': 'D'}",627876,453500,836438,613772,A,B,B,D
Dermus,Bradshaw,WBKELZPZ,dermus.bradshaw@santaquesa.edu,801-223-2645,"6815 Pecan Street, Santa Quesa, UT 89098","{'483873': 'D', '408132': 'A', '460225': 'C', '613772': 'B'}",483873,408132,460225,613772,D,A,C,B
Chupov,Saenz,SICKB694,chupov.saenz@santaquesa.edu,801-750-8494,"5778 Pine Street, Santa Quesa, UT 89098","{'460225': 'B', '665858': 'C', '990961': 'A', '524163': 'B'}",460225,665858,990961,524163,B,C,A,B
RaeJeanne,Spalding,T8HFYGEY,raejeanne.spalding@santaquesa.edu,801-368-7645,"2266 Beech Street, Santa Quesa, UT 89098","{'836438': 'D', '483873': 'D', '627876': 'D', '990961': 'D'}",836438,483873,627876,990961,D,D,D,D
Alema,Faircloth,RVNZEW60,alema.faircloth@santaquesa.edu,801-352-8526,"7818 Beech Street, Santa Quesa, UT 89098","{'344067': 'C', '570266': 'B', '454386': 'D', '270044': 'D'}",344067,570266,454386,270044,C,B,D,D
